status,copyright,response.docs.abstract,response.docs.web_url,response.docs.snippet,response.docs.lead_paragraph,response.docs.print_section,response.docs.print_page,response.docs.source,response.docs.multimedia,response.docs.keywords,response.docs.pub_date,response.docs.document_type,response.docs.news_desk,response.docs.section_name,response.docs.type_of_material,response.docs._id,response.docs.word_count,response.docs.uri,response.docs.subsection_name,response.docs.headline.main,response.docs.headline.kicker,response.docs.headline.content_kicker,response.docs.headline.print_headline,response.docs.headline.name,response.docs.headline.seo,response.docs.headline.sub,response.docs.byline.original,response.docs.byline.person,response.docs.byline.organization,response.meta.hits,response.meta.offset,response.meta.time
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"From New Mexico to British Columbia, an infestation of mountain pine beetles is turning a blanket of green forest into a blanket of rust red.",https://www.nytimes.com/2008/11/18/science/18trees.html,"From New Mexico to British Columbia, an infestation of mountain pine beetles is turning a blanket of green forest into a blanket of rust red.","HELENA, Mont.  On the side of a mountain on the outskirts of Montana’s capital city, loggers are racing against a beetle grub the size of a grain of rice.",D,3,The New York Times,,,2008-11-18T01:50:27+0000,article,Science,Science,News,nyt://article/e7450aa3-3ef5-55a2-b077-ad53c98103fb,1354,nyt://article/e7450aa3-3ef5-55a2-b077-ad53c98103fb,NA,Bark Beetles Kill Millions of Acres of Trees in West,NA,NA,Spread of Bark Beetles Kills Millions of Acres of Trees in West,NA,NA,NA,By Jim Robbins,,NA,358,0,26
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"More than 12 million trees are estimated to have died in California's drought this year, but the situation is being made even worse by a new pest, the native bark beetle. Mana Rabiee reports.",https://www.nytimes.com/video/multimedia/100000003684742/another-problem-for-drought-plagued-california-bark-beetles.html,"More than 12 million trees are estimated to have died in California's drought this year, but the situation is being made even worse by a new pest, the native bark beetle. Mana Rabiee reports.","More than 12 million trees are estimated to have died in California's drought this year, but the situation is being made even worse by a new pest, the native bark beetle. Mana Rabiee reports.",NA,NA,Reuters,,,2015-05-14T18:51:08+0000,multimedia,,Multimedia/Photos,Video,nyt://video/dcf2f024-fa0b-5184-bdcc-49b4ea882bb8,0,nyt://video/dcf2f024-fa0b-5184-bdcc-49b4ea882bb8,NA,Another problem for drought-plagued California: Bark beetles,NA,NA,NA,NA,NA,NA,Reuters,,Reuters,358,0,26
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"HELENA, Montana — On the side of a mountain on the outskirts of Montana's capital city, loggers are racing against a beetle grub the size of a grain of rice.",https://www.nytimes.com/2008/11/18/health/18iht-18trees.17920659.html,,"HELENA, Montana — On the side of a mountain on the outskirts of Montana's capital city, loggers are racing against a beetle grub the size of a grain of rice.",NA,NA,International Herald Tribune,,,2008-11-18T05:00:00+0000,article,IHT News,Health,News,nyt://article/9ff1e536-6bf4-59f1-8f2c-5f6d98d21597,1313,nyt://article/9ff1e536-6bf4-59f1-8f2c-5f6d98d21597,NA,Bark beetles kill millions of acres of trees in the American West,NA,NA,Bark beetles kill millions of acres of trees in the American West,NA,NA,NA,By Jim Robbins,,NA,358,0,26
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"More than a million acres in northern Colorado and southern Wyoming have been affected by a pine bark beetle infestation, devastating forests and hunting alike.",https://www.nytimes.com/2007/12/29/sports/othersports/29outdoors.html,"More than a million acres in northern Colorado and southern Wyoming have been affected by a pine bark beetle infestation, devastating forests and hunting alike.","ENCAMPMENT, Wyo.  We do not have to own land because, collectively with our fellow Americans, we possess millions of acres. Much of it is in the romantic West, where deer, elk and antelope can be harvested.",D,5,The New York Times,,,2007-12-29T05:00:00+0000,article,Sports,Sports,News,nyt://article/31d0ece7-83f9-51b5-938a-12a4d7385caf,673,nyt://article/31d0ece7-83f9-51b5-938a-12a4d7385caf,More Sports,A Rocky Mountain Low,NA,NA,Pine Bark Beetle Infestation Is Causing a Rocky Mountain Low,NA,NA,NA,By Tom Vaughn,,NA,358,0,26
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Outbreak of bark beetles is killing large swaths of pine and other trees in area that extends from Alaska to Arizona and South Dakota to California; beetle infestation, which was brought on by increasingly warm temperatures coupled with several years of severe drought, could move into Canada's boreal forest and continue to spread to Northeastern United States; Dr Karen Clancy, United States Forest Service, Flagstaff, Arizona, research entomologist, holds outbreak is unprecedented with pinon pine forest mortality rates near 100 percent; Dr Craig Allen, United States Geological Survey research ecologist, contends that climate warming causes ecosystems to shift and holds that large forest die-back is typical of change; Lolo National Forest entomologists are having some success developing synthetic pheromone that would signal to beetles that tree is inhospitable to infest; photos (M)",https://www.nytimes.com/2004/07/13/science/beetles-take-a-devastating-toll-on-western-forests.html,"Outbreak of bark beetles is killing large swaths of pine and other trees in area that extends from Alaska to Arizona and South Dakota to California; beetle infestation, which was brought on by increasingly warm temperatures coupled with several ye...","A pair of dead brown pine trees stand like skeletons in the Lolo National Forest here, victims of a tiny, voracious insect called the mountain pine beetle. And although the nearby trees look healthy, their days are numbered, too; beneath them, little piles of brown boring dust testify that beetles are inside them, munching away.",F,4,The New York Times,,,2004-07-13T05:00:00+0000,article,Science Desk,Science,News,nyt://article/b1d0af61-b1e4-5d94-ae15-7aaf004d4055,1054,nyt://article/b1d0af61-b1e4-5d94-ae15-7aaf004d4055,NA,Beetles Take a Devastating Toll on Western Forests,NA,NA,Beetles Take a Devastating Toll on Western Forests,NA,NA,NA,By Jim Robbins,,NA,358,0,26
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"VRETA KLOSTER, Sweden — For Goran Samuelsson, the proud owner of 70 hectares of majestic spruce trees here in southeastern Sweden, the forest is no place for fairy tales or fauns. It is his economic security - ""a bank where you don't have to bow to get what you need,"" as he puts it.",https://www.nytimes.com/2007/05/02/world/europe/02iht-beetle.4.5536234.html,,"VRETA KLOSTER, Sweden — For Goran Samuelsson, the proud owner of 70 hectares of majestic spruce trees here in southeastern Sweden, the forest is no place for fairy tales or fauns. It is his economic security - ""a bank where you don't have to bow to get what you need,"" as he puts it.",NA,NA,International Herald Tribune,,,2007-05-02T05:00:00+0000,article,IHT News,World,News,nyt://article/e87b3d2e-faf0-50cf-9265-110af3341b95,813,nyt://article/e87b3d2e-faf0-50cf-9265-110af3341b95,Europe,Global warming blamed for Swedish beetle-infestation,NA,NA,Global warming blamed for Swedish beetle-infestation,NA,NA,NA,By Ivar Ekman,,NA,358,0,26
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"VRETA KLOSTER, Sweden — For Goran Samuelsson, the proud owner of 70 hectares of majestic spruce trees here in southeastern Sweden, the forest is no place for fairy tales or fauns. It is his economic security - ""a bank where you don't have to bow to get what you need,"" as he puts it.",https://www.nytimes.com/2007/05/03/world/europe/03iht-beetle.2.5548558.html,,"VRETA KLOSTER, Sweden — For Goran Samuelsson, the proud owner of 70 hectares of majestic spruce trees here in southeastern Sweden, the forest is no place for fairy tales or fauns. It is his economic security - ""a bank where you don't have to bow to get what you need,"" as he puts it.",NA,NA,International Herald Tribune,,,2007-05-03T05:00:00+0000,article,IHT News,World,News,nyt://article/1bcc46bd-f3b3-56a4-af8d-8008e0ce1d61,816,nyt://article/1bcc46bd-f3b3-56a4-af8d-8008e0ce1d61,Europe,A tiny beetle is toppling towering Swedish spruces,NA,NA,A tiny beetle is toppling towering Swedish spruces,NA,NA,NA,By Ivar Ekman,,NA,358,0,26
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,The mountain pine beetle is the most destructive timber pest in the Western United States.,https://www.nytimes.com/2007/01/30/science/30bside.html,The mountain pine beetle is the most destructive timber pest in the Western United States.,"In early September, Jesse Logan, a 62-year-old insect specialist with a knack for mathematics and a deep love for the Western landscape, gazed across a rolling meadow 10,400 feet high in the rugged Wind River Range in Wyoming. ",F,4,The New York Times,,,2007-01-30T05:00:00+0000,article,Science,Science,News,nyt://article/4641cfde-6a28-5ef8-9f5e-36224669f525,753,nyt://article/4641cfde-6a28-5ef8-9f5e-36224669f525,NA,Following the Tracks of a Killer Mountain Beetle,NA,NA,Following the Tracks of a Killer Mountain Beetle,NA,NA,NA,By Charles Petit,,NA,358,0,26
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Some environmentalists and scientists argue that the insects are a natural phenomenon, like forest fires, and play a vital ecological role.",https://www.nytimes.com/2009/07/07/science/earth/07beetles.html,"Some environmentalists and scientists argue that the insects are a natural phenomenon, like forest fires, and play a vital ecological role.","MISSOULA, Mont.  When Ken Salazar  then a senator from Colorado, now secretary of the interior  called the attack on millions of acres of pine forests by the bark beetle the Katrina of the West, he was expressing the common view of the explosive growth of the beetles as an unmitigated disaster.",D,3,The New York Times,,,2009-07-06T21:50:53+0000,article,Science,Science,News,nyt://article/668cc550-bf3c-595a-b580-5f14fb41193f,1214,nyt://article/668cc550-bf3c-595a-b580-5f14fb41193f,Environment,Some See Beetle Attacks on Western Forests as a Natural Event,NA,NA,Some See Beetle Attacks on Western Forests as a Natural Event,NA,NA,NA,By Jim Robbins,,NA,358,0,26
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"More than seven million acres of trees have been killed by the tiny insects, complicating experts’ efforts to reduce wildfires.",https://www.nytimes.com/2009/06/28/us/28wildfires.html,"More than seven million acres of trees have been killed by the tiny insects, complicating experts’ efforts to reduce wildfires.","DENVER  Summer fire seasons in the great forests of the West have always hinged on elements of chance: a heat wave in August, a random lightning strike, a passing storm front that whips a small fire into an inferno or dampens it with cooling rain.",A,21,The New York Times,,,2009-06-27T18:42:08+0000,article,National,U.S.,News,nyt://article/9aea0b0d-1d85-5ea2-88cf-ed955c8f6e4e,961,nyt://article/9aea0b0d-1d85-5ea2-88cf-ed955c8f6e4e,NA,Beetles Add New Dynamic to Forest Fire Control Efforts,NA,NA,Beetles Add New Dynamic to Forest Fire Control Efforts,NA,NA,NA,By Kirk Johnson,,NA,358,0,26
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Great swaths of trees are dead or dying across Wyoming, Idaho and Montana after being attacked by beetles. The ecological effects could be serious.",https://www.nytimes.com/2010/07/27/opinion/27tue4.html,"Great swaths of trees are dead or dying across Wyoming, Idaho and Montana after being attacked by beetles. The ecological effects could be serious.","White bark pine forests are in trouble all across Wyoming, Idaho and Montana. Great swaths of trees are dead or dying after being attacked by the mountain pine beetle and a disease called white pine blister rust. The forests used to be protected by harsh winters and cool summers. But warmer winters and summers have allowed the beetle to breed more quickly and to move to the higher elevations favored by white bark pines. ",A,18,The New York Times,,,2010-07-27T00:57:56+0000,article,Editorial,Opinion,Editorial,nyt://article/f3c90636-ae64-5e20-b39e-7717948cbca7,307,nyt://article/f3c90636-ae64-5e20-b39e-7717948cbca7,NA,"Pines, Beetles and Bears",Editorial,NA,"Pines, Beetles and Bears",NA,NA,NA,NA,,NA,358,10,43
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Connecticut state scientists, alerted by homeowner to infestation of wood-boring Japanese cedar longhorn beetle, ask other property owners to examine trees for problems (M)",https://www.nytimes.com/1999/02/21/nyregion/on-the-lookout-for-beetle-damage.html,"Connecticut state scientists, alerted by homeowner to infestation of wood-boring Japanese cedar longhorn beetle, ask other property owners to examine trees for problems (M)","AN infestation of wood-boring beetles -- specifically the Japanese cedar longhorn beetle (Callidiellum refipenne) -- seems to have been averted. But state scientists are asking property owners to examine cedar, arbivitae and juniper trees for signs of ill health.",CN,14,The New York Times,,,1999-02-21T05:00:00+0000,article,Connecticut Weekly Desk,New York,News,nyt://article/3573fa84-1624-5ced-baf2-cc58c44d05f4,519,nyt://article/3573fa84-1624-5ced-baf2-cc58c44d05f4,NA,On the Lookout for Beetle Damage,NA,NA,On the Lookout for Beetle Damage,NA,NA,NA,By Sam Libby,,NA,358,10,43
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Insects known as fire beetles have highly sensitive detectors in their antennas and thorax to sense smoke; fire in the woods, particularly if certain tree species are burning, draws them from miles away; scientists say seemingly strange conduct of fire beetles is not an exercise in self-destruction but an example of evolutionary behavior aimed at perpetuating their species; experts are looking for ways to use beetle biology to create new generation of firm alarms; photo (M)",https://www.nytimes.com/1999/05/11/science/on-the-trail-of-fire-detecting-beetles.html,"Insects known as fire beetles have highly sensitive detectors in their antennas and thorax to sense smoke; fire in the woods, particularly if certain tree species are burning, draws them from miles away; scientists say seemingly strange conduct of...","During a forest fire, most insects and animals flee in all directions, flying, running, crawling and using every possible means to avoid the deadly flames. But there are exceptions, like some jewel beetles.",F,3,The New York Times,,,1999-05-11T05:00:00+0000,article,Science Desk,Science,News,nyt://article/df4b3d44-69b2-52ac-9cdf-19bb05b1ba87,1213,nyt://article/df4b3d44-69b2-52ac-9cdf-19bb05b1ba87,NA,On the Trail of Fire-Detecting Beetles,NA,NA,On the Trail of Fire-Detecting Beetles,NA,NA,NA,By Warren E. Leary,,NA,358,10,43
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Beetles that attack and kill weak pine trees are reproducing twice a year instead of once as warm temperatures arrive earlier, and millions of trees are dying.",https://www.nytimes.com/2012/04/17/science/beetles-birth-explosion-puts-pine-trees-under-stress.html,"Beetles that attack and kill weak pine trees are reproducing twice a year instead of once as warm temperatures arrive earlier, and millions of trees are dying.","Mountain pine beetles attack and kill weak pine trees, boring into bark to lay their eggs. They attack the trees in hordes, and their larvae feed off fungi in the trees. ",D,3,The New York Times,,,2012-04-16T19:02:47+0000,article,Science,Science,News,nyt://article/03429853-a307-50dc-9063-eb6c54aba315,254,nyt://article/03429853-a307-50dc-9063-eb6c54aba315,NA,Beetles’ Birth Explosion Puts Trees Under Stress,Observatory,NA,Beetles’ Birth Explosion Puts Trees Under Stress,NA,NA,NA,By Sindya N. Bhanoo,,NA,358,10,43
