"","text","date","id"
"1","thank you, followers, for the great photo suggestions for our upcoming IPCC report - on Monday you will find the lucky one selected for our cover from among your submissions!

we now need a good picture on #biofuels . any suggestions please for which we can get copyrights fast?",2022-04-01,1
"2","Greenpeace: The real solution to the climate crisis will require a rapid transition away from fossil fuels. 

What else we expect from the upcoming #IPCC report on climate solutions, set for publication on Monday, 4 April ⬇️  https://t.co/EC6a25S7tY",2022-04-01,2
"3","Governments have a responsibility to ensure that #IPCCReport is grounded in rapid phaseout of fossil fuel use and production — not #FalseClimateSolutions. 

Read more in our open letter: https://t.co/4larBPgeba https://t.co/Fv1OphPmac",2022-04-01,3
"4","Next week, the IPCC will publish a new report detailing their new models and policy pathways. 

Want to study up before the headlines? Read @bertrandhb's second long read on CCS, explaining how and why IPCC models use so much saviour tech.

https://t.co/6yBf0j7UWA",2022-04-01,4
"5","Live stream of virtual IPCC press conference releasing the report on mitigation of climate change, 9 a.m. GMT o... https://t.co/IqRCvvQxyX",2022-04-01,5
"6","Attention journalists: The deadline for embargoed materials for the upcoming @IPCC_CH report on climate mitigation has been extended to TODAY at 5:59 pm EDT. Register here: https://t.co/fLc4eHcOmm https://t.co/0eIlPb21kz",2022-04-01,6
"7","The IPCC Report and “The Physics of Climate Change” https://t.co/xnxP3fup2a",2022-04-01,7
"8","With time running short and most of the Summary for Policymakers yet to be approved, #IPCC Working Group III added a fourth plenary to Thursday’s packed schedule in an attempt to make headway.

More ➡️ https://t.co/CRKNFzykYE

#ClimateChange #AR6 #ClimateReport https://t.co/EoaasmOEZf",2022-04-01,8
"9","A helpful perspective on how to talk about the scenarios discussed in the forthcoming IPCC report https://t.co/Kpiim9NgNw",2022-04-01,9
"10","The private sector is an integral component of the water cycle and has much to lose as critical climate and water risks grow. 

This presents an opportunity for collective action, writes Kirsten James of the sustainability nonprofit @CeresNews.  

https://t.co/pC3kiJ6R1t",2022-04-01,10
"11","The other crisis – New IPCC report: over 3bn people face rising climate-change threat https://t.co/eAIOKCrio3",2022-04-01,11
"12","Occidental spending $1bn on CCS facility .. CCSA UK CCUS delivery plan .. IPCC to examine carbon removal .. TotalEnergies 3D pilot begins .. LEILAC 2 to proceed .. Aker Carbon Capture and Microsoft collaborate #ccus https://t.co/V4JwfujBEw https://t.co/JaJRg2M8dn",2022-04-01,12
"13","""Climate scientists and physical scientists in general are inherently conservative ... They tend to go with the least alarming, the least dramatic."" @KHayhoe tells @jakespring in this look ahead to the next IPCC report coming out on Monday. https://t.co/9ozLPrcItS",2022-04-01,13
"14","I know the IPCC issued a special report in 2018 stating the world only has until 2030 to make major emissions reductions to avert the worst effects of climate change, but does anyone think a revolution is a good idea? Just vote for more progressive Democrats to take over Congress",2022-04-01,14
"15","#NetZero by 2050 is too little, too late⌛

Ahead of the #IPCC’s #ClimateReport on emissions climate change, Meenakshi Raman of @SahabatAlamMsia explains why net-zero and carbon offsetting are problematic, and why we need a rapid phase-out of fossil fuels and a just transition. https://t.co/2CZ0N6jNWs",2022-04-01,15
"16","Il Rapporto del GIEC / IPCC https://t.co/2YUUOSLm66",2022-04-01,16
"17","""I call myself an apocalyptic optimist—I believe that there's hope, but there's going to be a lot of pain before we get there.""

Today, we're joined by @IPCC_CH contributors @Fisher_DanaR and Debra Roberts to talk about the latest #ClimateReport.

https://t.co/7Yc6GE0dsa",2022-04-01,17
"18","Want an interesting / scary activity? 

Look at the amazing ensemble data from IPCC:

https://t.co/N5Wh9zZoty",2022-04-02,18
"19","Sea level rise (#SLR: 📈=🌊+🧊💧) from 🇬🇱Greenland

Since 1990 (IPCC FAR): ~14.06 mm (-5089 Gt)

2022 → today: 67 Gt

Next 7 days (2022-04-04 →️2022-04-10)📈: 0.01 ±0.0 mm (-5.2 ±1.3 Gt)

https://t.co/Nn7kOxfSgO
https://t.co/O1X6IdEaWQ
https://t.co/9UqC7zFZwz https://t.co/3PU9DwQI5k",2022-04-02,19
"20","""climate change""

Want to learn of the 100s of question about the climate as described in the IPCC ARs?

Here is a great topic, what exactly is warming?

https://t.co/RyJsKmCQej",2022-04-02,20
"21","The science is clear: We need climate action now. Recent meaningful steps to reduce carbon emissions are important, but will not be nearly enough to stave off dire consequences from #climatechange. Here's how Congress can help: https://t.co/y7UEcFAvYO #IPCC",2022-04-02,21
"22","In 2019 a few days after the ~450 page Mueller Report was released @washingtonpost put together a 19-hour audiobook for it.

How about putting that kind of effort into audiobooks for the newest IPCC reports? 
Sure they’re longer, but given the urgency of the #ClimateCrisis …",2022-04-02,22
"23","This is what an IPCC author looks like for yet another day into the approval session of the WGIII assessment report on mitigation. #ClimateReport #AR6

Send force. https://t.co/nHZi0XcJqc",2022-04-02,23
"24","The @IPCC released a report that revealed the threat of climate change. Our team weighed in on the findings, and discussed how we can work to improve the increasingly extreme crisis. Learn more: https://t.co/tlFKnwrJkb",2022-04-02,24
"25","🌎 The new assessment by the IPCC shows that the extent and magnitude of #climatechange impacts are larger than previously estimated in 2014. On Monday, MEPs will discuss the latest IPCC report with the Commission.

Read more 👇",2022-04-02,25
"26","The next IPCC report has been leaked by scientists.

The report explicitly states that incremental change is not a viable option.

It says that we need massive investment to transform. Not the death cult of conservative economics.

https://t.co/W1VaZYS1Hv

#ClimateCrisis",2022-04-02,26
"27","Guest post: How not to interpret the emissions scenarios in the IPCC report - Carbon Brief - critical reading from ⁦@JoeriRogelj⁩  https://t.co/3ClGeI59Ye",2022-04-02,27
"28","If you’re anticipating the publication of the #IPCC report next week, recommend preparing and reading this piece in Carbon Brief: How not to interpret the emissions scenarios. https://t.co/sXU7roHoJG",2022-04-02,28
"29","New #IPCC report on Monday - the challenge and the #technicalsolutions #climateactionnow https://t.co/3XQXrYxdaA",2022-04-02,29
"30","B.C. Climate News March 28 to April 3: Latest IPCC report expected Monday | Canada’s new climate plan calls for 42% cut in emissions from oil and gas sector | Scientists say landslide that caused lake tsunami may be linked to glacier melt https://t.co/7vJHCuNoft",2022-04-02,30
"31","This report will review policies & scenarios, but also cover new ground in looking at how governments can improve laws & governance to better address the scale of the climate challenge: @NavrozDubash speaks to @jayashreenandi about the upcoming #IPCCreport
https://t.co/Tb9DR6dfkG",2022-04-02,31
"32","I have no science of my own to offer, but I gladly share the tens of thousands of experts kindly packaged in these respected reviews: - https://t.co/QxCQzio5Dn - https://t.co/wA1yAlhWip - https://t.co/oJrR1ivMxJ #ClimateBrawl #ClimateCrisis #ClimateEmergency",2022-04-03,32
"33","Climate change: Scientists race to finish key IPCC report - BBC News https://t.co/3hKpPYrlSl",2022-04-03,33
"34","@BittuSahgal, set a reminder now⏰: https://t.co/vcbg77V2L8 Twitter Space co-hosted w/ the Logical Indians to unpack the #IPCC climate mitigation report with 🎙️Dr Dipak Dasgupta, TERI 🎙️Dr Joyashree Roy, AITT (IPCC Lead Authors) 🎙️Dr Sunita Purushottam, Mahindra Lifespaces",2022-04-03,34
"35","$IPCC bullish next target 680 https://t.co/blUyWefmvx",2022-04-03,35
"36","IPCC report The summary report on how to tackle climate change is still being approved Per SMC, the IPCC says its comms team is ""considering plans for the embargo and timing of the press conference"". But so far no change to timing of publication… (10am BST) https://t.co/tU2yVox0Bw",2022-04-03,36
"37","Scientists urge end to fossil fuel use as landmark IPCC report readied -- Talks stretch past deadline as governments are accused of trying to water down findings https://t.co/VcqDg7FWNu",2022-04-03,37
"38","Scientists urge end to fossil fuel use as landmark IPCC report readied https://t.co/XGW3DfhBQO",2022-04-03,38
"39","Scientists urge end to fossil fuel use as landmark IPCC report readied https://t.co/y8Ay0bUqi8",2022-04-03,39
